Time,Temp,A1 ,A2 ,A3 ,A4 ,A5 ,A6 ,A7 ,A8 ,A9 ,A10 ,A11,A12,B1 ,B2 ,B3 ,B4 ,B5 ,B6 ,B7 ,B8 ,B9 ,B10 ,B11,B12,C1 ,C2 ,C3 ,C4 ,C5 ,C6 ,C7 ,C8 ,C9 ,C10 ,C11,C12,D1 ,D2 ,D3 ,D4 ,D5 ,D6 ,D7 ,D8 ,D9 ,D10 ,D11,D12,E1 ,E2 ,E3 ,E4 ,E5 ,E6 ,E7 ,E8 ,E9 ,E10 ,E11,E12,F1 ,F2 ,F3 ,F4 ,F5 ,F6 ,F7 ,F8 ,F9 ,F10 ,F11,F12,G1 ,G2 ,G3 ,G4 ,G5 ,G6 ,G7 ,G8 ,G9 ,G10 ,G11,G12,H1 ,H2 ,H3 ,H4 ,H5 ,H6 ,H7 ,H8 ,H9 ,H10 ,H11,H12
0:29:16,37,0.013,0.009,0.009,0.008,0.007,0.005,0.006,0.001,0,0,0,0,0.012,0.01,0.011,0.008,0.01,0.008,0.009,0.004,0.002,0.001,0.001,0,0.013,0.01,0.01,0.009,0.008,0.007,0.017,0.002,0.006,0.002,0,0.002,0.012,0.009,0.01,0.008,0.009,0.008,0.011,0,0,0.003,0,0,0.01,0.006,0.009,0.008,0.008,0.008,0.009,0.003,0,0.002,0.003,0,0.001,0,0,0.001,0.001,0.002,0,0,0,0.003,0,0.003,0.002,0,0,0.002,0.002,0.001,0,0.001,0.001,0.002,0.001,0,0.002,0,0,0,0.001,0,0,0,0,0.001,0,0
0:59:16,37,0.015,0.01,0.01,0.007,0.007,0.006,0.006,0.001,0,0,0,0,0.014,0.01,0.011,0.009,0.01,0.008,0.009,0.004,0.002,0.002,0.002,0,0.014,0.011,0.01,0.009,0.008,0.007,0.02,0.002,0.007,0.003,0,0.002,0.013,0.01,0.011,0.009,0.009,0.008,0.011,0,0,0.003,0,0,0.011,0.007,0.009,0.009,0.008,0.009,0.01,0.003,0,0.002,0.003,0,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.003,0,0.001,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0
1:29:16,37,0.016,0.01,0.01,0.007,0.008,0.006,0.006,0.001,0,0,0,0,0.015,0.011,0.012,0.009,0.01,0.008,0.009,0.004,0.002,0.002,0.002,0,0.015,0.011,0.01,0.009,0.008,0.007,0.02,0.002,0.007,0.003,0,0.002,0.013,0.01,0.011,0.009,0.009,0.008,0.011,0,0,0.003,0,0,0.012,0.007,0.009,0.009,0.008,0.009,0.01,0.003,0,0.002,0.003,0,0.002,0,0.001,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.003,0,0.001,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0
1:59:16,37,0.018,0.012,0.011,0.008,0.008,0.006,0.006,0.001,0,0,0,0,0.017,0.013,0.013,0.009,0.011,0.008,0.009,0.004,0.002,0.002,0.002,0,0.018,0.013,0.011,0.01,0.009,0.007,0.019,0.002,0.007,0.003,0,0.002,0.016,0.011,0.012,0.009,0.01,0.009,0.011,0,0,0.003,0,0,0.014,0.008,0.01,0.009,0.008,0.009,0.01,0.003,0,0.001,0.003,0,0.002,0,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.003,0,0,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0
2:29:16,37,0.024,0.016,0.013,0.008,0.008,0.006,0.006,0,0,0,0,0,0.022,0.017,0.014,0.01,0.011,0.009,0.009,0.004,0.002,0.002,0.002,0,0.023,0.017,0.013,0.011,0.009,0.007,0.02,0.002,0.007,0.003,0,0.002,0.021,0.015,0.014,0.01,0.01,0.009,0.011,0,0,0.003,0,0,0.019,0.012,0.012,0.011,0.009,0.009,0.009,0.003,0,0.001,0.003,0,0.002,0,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.003,0,0,0.001,0.001,0.001,0,0.001,0,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0
2:59:16,37,0.033,0.024,0.016,0.011,0.009,0.007,0.006,0.001,0,0,0,0,0.032,0.025,0.018,0.011,0.012,0.009,0.009,0.004,0.002,0.002,0.002,0,0.033,0.025,0.016,0.012,0.01,0.008,0.015,0.002,0.006,0.002,0,0.002,0.033,0.021,0.017,0.011,0.011,0.009,0.011,0,0,0.003,0,0,0.029,0.019,0.017,0.013,0.01,0.009,0.009,0.003,0,0.002,0.003,0,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.004,0,0,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.002,0,0,0,0.001,0,0,0,0,0.001,0,0
3:29:16,37,0.051,0.041,0.025,0.014,0.01,0.007,0.006,0,0,0,0,0,0.048,0.039,0.026,0.014,0.012,0.01,0.008,0.004,0.002,0.002,0.002,0,0.05,0.038,0.024,0.015,0.011,0.008,0.015,0.002,0.006,0.002,0,0.002,0.05,0.035,0.025,0.014,0.012,0.01,0.011,0,0,0.003,0,0,0.052,0.033,0.026,0.017,0.011,0.01,0.009,0.003,0,0.001,0.002,0,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.004,0,0,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.002,0,0,0,0.001,0,0,0,0,0.001,0,0
3:59:16,37,0.084,0.069,0.043,0.021,0.013,0.009,0.006,0.001,0,0,0,0,0.074,0.064,0.042,0.02,0.014,0.011,0.009,0.004,0.002,0.002,0.002,0,0.079,0.06,0.038,0.021,0.013,0.009,0.014,0.002,0.006,0.003,0,0.002,0.08,0.057,0.041,0.02,0.014,0.011,0.011,0,0,0.003,0,0,0.089,0.061,0.045,0.026,0.013,0.011,0.01,0.003,0,0.002,0.003,0,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.004,0,0.001,0.002,0.001,0.001,0,0.001,0.001,0.002,0.001,0,0.002,0,0.001,0,0.001,0,0,0,0,0.001,0,0
4:29:16,37,0.123,0.103,0.071,0.035,0.018,0.012,0.006,0.001,0,0,0,0,0.111,0.097,0.067,0.031,0.017,0.013,0.008,0.004,0.002,0.002,0.002,0,0.117,0.093,0.062,0.032,0.016,0.011,0.014,0.002,0.006,0.002,0,0.002,0.122,0.091,0.065,0.031,0.017,0.013,0.011,0,0,0.003,0,0,0.132,0.096,0.077,0.042,0.017,0.014,0.009,0.003,0,0.002,0.002,0,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.004,0,0,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.001,0,0
4:59:16,37,0.157,0.131,0.101,0.058,0.027,0.017,0.006,0,0,0,0,0,0.145,0.127,0.097,0.05,0.023,0.016,0.008,0.004,0.002,0.002,0.002,0,0.152,0.125,0.091,0.05,0.021,0.014,0.015,0.002,0.006,0.003,0,0.002,0.158,0.125,0.099,0.051,0.022,0.016,0.011,0,0,0.003,0,0,0.169,0.131,0.11,0.068,0.025,0.019,0.009,0.003,0,0.002,0.003,0,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0.003,0,0.003,0.004,0,0,0.002,0.001,0.001,0,0.001,0,0.002,0.001,0,0.002,0,0,0,0.001,0,0,0,0,0.001,0,0
